timestamps,TP9,AF7,AF8,TP10,Right AUX
1739045365.258,-48.340,-809.570,-478.027,125.488,0.000
1739045365.262,-35.645,-786.621,-437.988,118.652,0.000
1739045365.266,-38.086,-690.918,-447.754,76.660,0.000
1739045365.270,-54.199,-887.207,-535.645,68.359,0.000
1739045365.274,-72.754,-907.227,-493.652,65.430,0.000
1739045365.278,-53.223,-791.016,-461.914,62.012,0.000
1739045365.282,-44.922,-878.418,-533.691,103.027,0.000
1739045365.286,-26.367,-983.887,-532.715,117.676,0.000
1739045365.290,-15.625,-1000.000,-638.672,151.855,0.000
1739045365.293,-35.645,-873.047,-568.848,104.004,0.000
1739045365.297,-42.969,-619.629,-398.438,28.809,0.000
1739045365.301,-32.227,-757.812,-500.977,65.430,0.000
1739045365.305,-59.082,-887.207,-537.598,75.195,0.000
1739045365.309,-24.414,-716.797,-455.566,100.098,0.000
1739045365.313,4.883,-610.840,-414.062,127.930,0.000
1739045365.317,-43.945,-798.340,-524.902,94.238,0.000
1739045365.321,-40.527,-899.902,-589.844,101.074,0.000
1739045365.325,-21.973,-688.477,-458.008,117.188,0.000
1739045365.329,34.180,-786.133,-463.379,127.930,0.000
1739045365.332,52.246,-958.984,-597.656,165.039,0.000
1739045365.336,-11.719,-946.777,-630.859,134.277,0.000
1739045365.340,2.930,-689.941,-416.016,116.699,0.000
1739045365.344,33.691,-585.938,-432.129,166.504,0.000
1739045365.348,20.508,-809.082,-514.160,128.906,0.000
1739045365.352,0.977,-832.031,-485.840,141.113,0.000
1739045365.356,-33.691,-692.871,-459.961,144.531,0.000
1739045365.360,-24.902,-739.258,-505.859,76.660,0.000
1739045365.364,64.453,-898.926,-577.637,224.121,0.000
1739045365.368,64.453,-873.047,-525.879,248.535,0.000
1739045365.372,-24.414,-835.938,-528.809,33.203,0.000
1739045365.375,-9.766,-969.727,-579.590,20.020,0.000
1739045365.379,16.602,-1000.000,-669.434,89.844,0.000
1739045365.383,33.203,-979.492,-644.531,118.652,0.000
1739045365.387,27.832,-891.113,-486.328,99.121,0.000
1739045365.391,59.082,-902.832,-535.156,116.699,0.000
1739045365.395,59.570,-870.117,-509.766,133.301,0.000
1739045365.399,-13.672,-674.316,-402.832,116.211,0.000
1739045365.403,-53.711,-524.902,-356.934,95.703,0.000
1739045365.407,-39.062,-687.012,-464.355,77.637,0.000
1739045365.411,-45.898,-823.730,-505.371,87.891,0.000
1739045365.414,-59.082,-543.457,-346.680,80.078,0.000
1739045365.418,-56.641,-448.242,-333.008,91.797,0.000
1739045365.422,-59.082,-791.504,-559.570,129.883,0.000
1739045365.426,-29.785,-896.973,-582.520,152.832,0.000
1739045365.430,-37.598,-585.449,-337.891,162.598,0.000
1739045365.434,-82.031,-453.125,-297.852,188.477,0.000
1739045365.438,-59.570,-756.836,-473.633,186.523,0.000
1739045365.442,-36.133,-846.680,-500.488,132.324,0.000
