Test Number,Average Khushu Index
Test 1,65.99
Test 1,66.68
Test 2,66.73
Test 3,66.97
Test 4,63.89
Test 5,68.34
Test 6,66.20
Test 7,65.32
Test 8,66.33
Test 9,66.57
Test 10,67.28
Test 11,67.03
Test 12,66.92
Test 13,64.99
